FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
1,0,1,12,36,18,11,2.3978952728
0,0,0,12,23,5,13.46,2.5997223242
1,0,0,16,35,13,5,1.6094379124
1,0,0,12,36,18,8.5,2.1400661635
1,1,0,12,53,35,14,2.6390573296
0,0,0,12,38,20,5.7,1.7404661748
1,0,0,12,37,19,10,2.302585093
1,0,0,11,34,17,7,1.9459101491
1,0,0,12,37,19,5.65,1.7316555452
0,0,0,10,40,24,8.1,2.0918640617
0,0,0,12,48,30,20.511111111,3.0209667447
0,0,0,18,44,20,10,2.302585093
1,0,1,16,46,24,20.825,3.0361541881
0,0,0,12,44,26,14,2.6390573296
1,0,1,16,41,19,17.86,2.8825635754
1,0,0,10,18,2,4.5,1.5040773968
0,0,0,12,30,12,10.25,2.3272777056
0,0,1,12,47,29,12.14,2.4965057856
1,0,0,16,22,0,6.5,1.8718021769
1,0,0,12,30,12,20.8,3.0349529867
0,0,0,12,26,8,7.5,2.0149030205
1,0,0,12,45,27,12,2.4849066498
0,0,0,16,39,17,27.4,3.3105430134
1,0,0,12,19,1,7,1.9459101491
0,0,0,16,30,8,14.7,2.6878474938
1,0,0,12,26,8,14.64,2.6837575085
0,0,0,12,49,31,11.933333333,2.4793356047
1,1,0,12,52,34,13,2.5649493575
1,1,0,16,30,8,10,2.302585093
0,1,1,12,41,23,12.5,2.5257286443
0,0,0,16,31,9,21.023255814,3.0456292447
1,0,0,12,36,18,11.5,2.4423470354
0,0,0,16,45,23,8.5,2.1400661635
1,0,0,12,55,37,11.95,2.4807312784
1,0,0,11,18,1,6,1.7917594692
1,0,0,16,49,27,5,1.6094379124
0,0,0,12,61,43,3.4666666667,1.2431935175
0,1,0,11,22,5,5.1,1.6292405397
1,0,0,12,46,28,11.13,2.4096441653
1,0,0,12,32,14,16.35,2.7942278973
0,0,1,12,34,16,12.6,2.533696814
1,0,0,12,20,2,7.45,2.0082140324
0,0,0,7,57,44,29.022222222,3.3680618201
0,0,0,16,29,7,16,2.7725887222
0,0,1,16,41,19,10,2.302585093
1,0,1,12,45,27,8.32,2.1186622548
1,0,0,12,60,42,10.5,2.3513752572
0,0,0,12,29,11,12,2.4849066498
1,0,0,12,39,21,10,2.302585093
1,0,0,14,42,22,16,2.7725887222
1,0,0,12,27,9,2.12,0.7514160887
0,0,0,18,48,24,14,2.6390573296
1,0,1,10,36,20,6.25,1.8325814637
1,0,0,12,47,29,11.5,2.4423470354
1,0,0,16,26,4,19.225,2.9562115154
1,0,0,12,38,20,4.8,1.5686159179
0,0,0,16,57,35,37.5,3.624340933
0,0,0,7,38,25,12,2.4849066498
1,0,0,12,33,15,13.157894737,2.5770219387
0,0,1,12,53,35,24.8,3.2108436532
0,0,1,12,41,23,7.2,1.974081026
0,0,0,11,18,1,5.25,1.6582280766
1,0,0,12,26,8,7.4,2.0014800002
0,0,1,16,54,32,18.75,2.9311937524
1,0,1,10,49,33,13,2.5649493575
1,0,0,12,37,19,2.2,0.7884573604
0,1,1,16,55,33,28.825,3.3612430662
1,0,0,12,57,39,7,1.9459101491
0,0,0,12,20,2,7.5,2.0149030205
0,0,0,12,34,16,15,2.7080502011
1,1,1,12,29,11,6.0789473684,1.8048315508
1,0,0,16,25,3,11.54,2.4458192611
1,0,0,12,22,4,11.05,2.402430428
0,1,1,12,46,28,10,2.302585093
1,1,0,16,36,14,11,2.3978952728
0,1,0,12,32,14,5.66,1.7334238922
1,0,0,18,44,20,14.732142857,2.6900316956
1,1,0,12,32,14,6,1.7917594692
1,1,1,12,25,7,7,1.9459101491
0,0,0,14,21,1,10,2.302585093
1,0,0,16,30,8,19,2.9444389792
0,0,0,14,56,36,29.325,3.3784403945
1,0,0,12,18,0,5.5,1.7047480922
0,0,1,12,28,10,16,2.7725887222
1,0,0,14,46,26,13.45,2.598979106
0,0,0,1,32,25,5.5,1.7047480922
0,0,0,12,36,18,22,3.0910424534
0,0,1,12,48,30,8.25,2.1102132003
1,0,0,12,39,21,6,1.7917594692
1,1,0,16,40,18,15,2.7080502011
